J.D.-2400000,rel_flux_C2,rel_flux_C3,rel_flux_C4,rel_flux_C5,rel_flux_C6,rel_flux_C7,rel_flux_C8,rel_flux_C9,rel_flux_C10,rel_flux_C11,rel_flux_C12,rel_flux_C13,rel_flux_C14,rel_flux_C15,rel_flux_C16,rel_flux_C17,rel_flux_C18,rel_flux_C19,rel_flux_C20,rel_flux_C21,rel_flux_C22,rel_flux_C23,rel_flux_C24,rel_flux_C25
60016.65565,2.82863E-05,-1.44955E-05,0.000110889,0.000794686,0.00074499,0.000334895,0.00047636,0.052869254,-0.000102453,0.046801854,0.005260884,0.000197956,0.14562001,0.000140856,0.227621285,0.187698003,0.177635109,-8.81803E-05,-8.3821E-05,0.000671206,0.043755727,0.022964559,0.055801876,0.031877783
60016.6564,0.073179364,0.091753614,0.000974597,0.06754776,7.09413E-05,-0.000681914,0.000320967,0.06993846,0.000203711,0.061838186,0.001112174,-0.000627601,0.196628343,0.032915383,0.000338736,0.254261618,0.243346212,0.036944539,0.000286558,-0.000123562,0.000636839,0.023438986,0.000287113,0.031491326
60016.65715,0.000190973,0.000432386,2.79977E-05,0.000544078,0.000414964,-0.000348239,0.001124069,0.055615585,0.000157199,0.048970271,0.007057058,0.000501344,0.000552128,-0.000668835,0.241325497,0.198719673,0.189445521,0.029286045,0.312170462,0.0099777,0.044696228,0.024620405,1.89092E-05,0.032390712
60016.65791,0.000518258,0.000936596,0.002130431,0.001327065,-0.000242925,-0.000134794,7.48166E-05,0.075313909,-0.000521864,0.065944026,0.007626508,-3.96761E-05,-0.000563946,0.000632417,0.343567101,0.278024842,0.265129578,0.039587882,-0.000667315,0.012991767,0.060532015,0.02644301,-0.000263418,0.035458432
60016.65865,0.000947139,-1.18803E-05,-6.58503E-05,0.000759076,0.000117433,0.00136076,0.001062754,0.093201566,-0.000200931,0.080704792,0.087698206,0.000422725,-0.000583909,0.044370813,-0.000434767,0.361995883,0.344152189,0.047671666,-0.000379897,0.000714414,-0.000258167,0.000588178,-0.000233811,0.041434642
60016.6594,0.000584962,0.065768502,-0.00048137,-9.28101E-05,0.00109708,0.000407839,0.000422212,0.050345247,-1.65505E-05,0.043855094,0.000292982,0.000315059,0.135723926,0.023836764,0.210569506,0.172717605,0.165653839,0.026363003,-0.000226078,-0.000144629,0.000260769,-5.61114E-05,0.000457364,0.036878404
60016.66015,0.0010849,0.001365116,3.15574E-05,0.000408293,0.000783239,-0.000118723,0.001477236,0.080039523,0.000211553,0.070160813,0.002617716,0.00035946,-0.000529704,0.038947094,0.373724829,0.299410153,0.283983157,0.04159214,-0.000828639,-0.000200273,0.000147515,0.000852473,2.56697E-05,0.035602171
60016.6609,1.74772E-05,-0.000132682,0.000416285,0.000978199,0.000376402,0.000124364,0.000624627,0.053031357,0.000930655,0.047358882,0.01203878,0.001016901,0.00151579,0.026589524,0.230627776,0.189066601,0.181362572,0.02943771,0.296015947,0.009693359,0.043741847,0.000628695,0.000534461,0.040535992
60016.66164,0.000149025,-0.000641234,0.001248751,0.00070668,-0.000419074,-4.70726E-06,0.00043368,0.053553083,0.000662466,0.046879331,0.006313614,0.000585479,0.144272973,0.025280203,0.227009949,0.186887956,0.17759692,0.027782464,-0.001588225,4.35921E-05,-8.16575E-05,-3.91794E-05,0.000154827,0.035401182
60016.6624,-0.00034471,-0.000354226,0.000499205,0.000820153,0.000424084,-0.000275628,0.001006207,0.056504253,-0.00015259,0.049909045,0.000193326,0.00048746,0.149929253,0.000274422,0.23480574,0.191277758,0.184140364,0.030180392,-0.000160559,0.000796529,-0.000297675,-0.00015191,-5.81429E-05,0.001792695
